;;DESTINATION;;;;;;;;;;;;;;;;;;;;;;;;total
18:00;Amstelveenseweg;14;9;3;29;9;14;8;22;7;2;19;0;4;7;13;15;21;2;2;9;4;2;4;21;240
18:15;Amstelveenseweg;0;11;1;11;16;4;6;10;4;2;12;8;4;13;7;4;14;1;8;1;3;7;0;2;149
18:30;Amstelveenseweg;1;5;0;16;15;3;5;10;2;2;11;9;6;10;9;3;4;1;2;4;1;2;0;2;123
18:45;Amstelveenseweg;1;5;0;3;7;4;5;3;0;0;5;4;1;7;0;5;11;2;7;7;1;3;2;12;95
19:00;Amstelveenseweg;1;2;1;2;6;4;0;1;1;0;2;3;5;7;2;6;8;0;4;4;2;1;1;2;65
19:15;Amstelveenseweg;2;3;1;4;3;4;2;4;1;0;1;1;4;0;3;4;1;0;3;4;1;1;2;3;52
19:30;Amstelveenseweg;2;3;1;6;1;4;3;6;1;1;4;3;4;1;1;0;6;0;4;6;0;1;0;3;61
19:45;Amstelveenseweg;1;1;0;2;2;2;1;6;1;0;1;1;3;1;0;4;4;0;1;5;2;1;0;3;42
20:00;Amstelveenseweg;2;2;0;8;3;2;2;2;1;1;2;4;3;2;2;4;4;0;5;1;1;1;2;0;54
20:15;Amstelveenseweg;1;3;1;6;1;2;2;4;1;1;4;3;4;4;4;4;4;0;2;6;2;2;2;1;64
20:30;Amstelveenseweg;0;2;1;4;3;3;0;1;2;1;0;1;1;4;4;3;3;0;0;1;0;0;1;1;36
20:45;Amstelveenseweg;1;1;0;4;4;2;1;1;0;0;1;0;3;2;1;2;4;0;2;4;1;0;1;4;39
21:00;Amstelveenseweg;3;2;0;3;4;1;2;2;1;0;3;3;1;5;4;2;1;0;4;1;2;1;1;4;50
21:15;Amstelveenseweg;2;0;0;2;4;1;0;3;1;1;3;2;2;0;3;2;1;1;3;4;0;1;0;2;38
21:30;Amstelveenseweg;3;1;0;0;1;3;2;4;1;0;5;2;3;3;3;1;3;1;5;4;1;1;1;5;53
21:45;Amstelveenseweg;2;1;1;1;2;1;1;6;1;0;5;2;2;4;4;3;3;1;5;3;2;2;0;6;58
22:00;Amstelveenseweg;1;1;1;5;4;4;0;0;2;1;0;2;2;4;4;1;6;1;2;2;0;2;2;2;49
22:15;Amstelveenseweg;1;2;0;2;2;4;2;5;2;1;3;3;4;6;3;4;1;0;4;1;1;1;1;2;55
22:30;Amstelveenseweg;1;2;0;2;1;2;0;4;0;1;4;1;0;1;0;1;0;0;4;1;0;0;1;0;26
22:45;Amstelveenseweg;1;2;1;4;4;1;0;1;0;0;4;1;1;2;1;3;0;0;1;2;0;0;0;0;29
23:00;Amstelveenseweg;0;2;0;4;1;2;1;1;0;0;1;1;0;1;0;1;2;0;1;2;1;0;1;2;24
23:15;Amstelveenseweg;1;1;0;4;0;2;1;3;0;0;2;2;2;0;3;3;1;0;2;0;1;1;1;3;33
23:30;Amstelveenseweg;1;1;0;2;1;2;2;0;0;0;3;0;3;1;1;0;1;0;3;2;1;1;1;2;28
23:45;Amstelveenseweg;1;0;0;1;0;1;1;2;1;0;0;0;1;1;1;2;3;0;1;0;0;1;1;2;20
0:00;Buikslotermeer;1;1;0;1;1;0;1;1;0;0;1;1;0;1;0;1;1;0;1;2;0;1;0;1;16
0:15;Buikslotermeer;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;0;0;1;0;0;0;1;12
0:30;Buikslotermeer;1;0;0;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;10
0:45;Buikslotermeer;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4
1:00;Buikslotermeer;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3
1:15;Buikslotermeer;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;4
1:30;Buikslotermeer;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
1:45;Buikslotermeer;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3
2:00;Buikslotermeer;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;8
2:15;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
2:30;Buikslotermeer;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;7
2:45;Buikslotermeer;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;4
3:00;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;5
3:15;Buikslotermeer;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;7
3:30;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;0;6
3:45;Buikslotermeer;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;4
4:00;Buikslotermeer;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
4:15;Buikslotermeer;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;5
4:30;Buikslotermeer;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;4
4:45;Buikslotermeer;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;3
5:00;Buikslotermeer;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4
5:15;Buikslotermeer;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3
5:30;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;4
5:45;Buikslotermeer;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;4
6:00;Buikslotermeer;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;6
6:15;Buikslotermeer;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;4
6:30;Buikslotermeer;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3
6:45;Buikslotermeer;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;13
7:00;Buikslotermeer;2;1;0;3;3;0;1;1;1;0;1;1;1;3;1;2;3;0;1;2;1;1;1;1;31
7:15;Buikslotermeer;4;3;1;0;1;3;0;3;2;1;4;3;2;4;3;2;3;1;1;3;2;1;1;4;52
